NAME;GROUP_COMMON_NAME;GROUP_SCIENTIFIC_NAME
Chonecoleaceae;Mosses and liverworts ;Bryophytes
Cinclidotaceae;Mosses and liverworts ;Bryophytes
Cleveaceae;Mosses and liverworts ;Bryophytes
Climaciaceae;Mosses and liverworts ;Bryophytes
Conocephalaceae;Mosses and liverworts ;Bryophytes
Corsiniaceae;Mosses and liverworts ;Bryophytes
Cryphaeaceae;Mosses and liverworts ;Bryophytes
Cyrtopodaceae;Mosses and liverworts ;Bryophytes
Daltoniaceae;Mosses and liverworts ;Bryophytes
Dendrocerotaceae;Mosses and liverworts ;Bryophytes
Dicnemonaceae;Mosses and liverworts ;Bryophytes
Dicranaceae;Mosses and liverworts ;Bryophytes
Diphysciaceae;Mosses and liverworts ;Bryophytes
Disceliaceae;Mosses and liverworts ;Bryophytes
Ditrichaceae;Mosses and liverworts ;Bryophytes
Echinodiaceae;Mosses and liverworts ;Bryophytes
Encalyptaceae;Mosses and liverworts ;Bryophytes
Entodontaceae;Mosses and liverworts ;Bryophytes
Ephemeraceae;Mosses and liverworts ;Bryophytes
Erpodiaceae;Mosses and liverworts ;Bryophytes
Eustichiaceae;Mosses and liverworts ;Bryophytes
Exormothecaceae;Mosses and liverworts ;Bryophytes
Fabroniaceae;Mosses and liverworts ;Bryophytes
Fissidentaceae;Mosses and liverworts ;Bryophytes
Fontinalaceae;Mosses and liverworts ;Bryophytes
Fossombroniaceae;Mosses and liverworts ;Bryophytes
Funariaceae;Mosses and liverworts ;Bryophytes
Geocalycaceae;Mosses and liverworts ;Bryophytes
Gigaspermaceae;Mosses and liverworts ;Bryophytes
Goebeliellaceae;Mosses and liverworts ;Bryophytes
Grimmiaceae;Mosses and liverworts ;Bryophytes
Gymnomitriaceae;Mosses and liverworts ;Bryophytes
Gyrothyraceae;Mosses and liverworts ;Bryophytes
Haplomitriaceae;Mosses and liverworts ;Bryophytes
Hedwigiaceae;Mosses and liverworts ;Bryophytes
Helicophyllaceae;Mosses and liverworts ;Bryophytes
Herbertaceae;Mosses and liverworts ;Bryophytes
Hookeriaceae;Mosses and liverworts ;Bryophytes
Hylocomiaceae;Mosses and liverworts ;Bryophytes
Hymenophytaceae;Mosses and liverworts ;Bryophytes
Hypnaceae;Mosses and liverworts ;Bryophytes
Hypnodendraceae;Mosses and liverworts ;Bryophytes
Hypopterygiaceae;Mosses and liverworts ;Bryophytes
Jackiellaceae;Mosses and liverworts ;Bryophytes
Jubulaceae;Mosses and liverworts ;Bryophytes
Jubulopsaceae;Mosses and liverworts ;Bryophytes
Jungermanniaceae;Mosses and liverworts ;Bryophytes
Lejeuneaceae;Mosses and liverworts ;Bryophytes
Lembophyllaceae;Mosses and liverworts ;Bryophytes
Lepicoleaceae;Mosses and liverworts ;Bryophytes
